Power_mean,Amplitude_mean,Weighted_Mean_Frequency_mean,Power_std,Amplitude_std,Weighted_Mean_Frequency_std,Power_median,Amplitude_median,Weighted_Mean_Frequency_median,Genre
5093555560.908441,511.23912515527513,36550.32104679871,2226125974.8964996,0.5088171106923246,5987.863768220941,4483334976.018209,511.3076119138804,35625.96222396301,metal
3557465598.617367,511.4334283706567,28045.84240427904,1550972962.2559223,0.4693528705112783,5574.052783485644,3155829878.5414257,511.557218875569,27702.67571825807,metal
6665992804.940723,511.6815071435131,36778.78540700242,3055138756.364552,0.30484595704570716,9765.231683684628,6309297276.267956,511.7696327934843,37027.17859487723,metal
8539903399.168746,510.3747136284021,44059.14429718424,4511228716.269711,0.7130304558829045,9542.443998445027,7708232468.138834,510.48261372394467,43650.713014109104,metal
1514109091.5813599,511.57942955039175,20751.0897258512,718363183.8126779,0.3559603163459487,4722.305429026731,1364550673.4532957,511.6671883464366,20632.137081180772,metal
5888382084.48317,510.83834722753204,31812.410602409767,5579633275.225129,0.4344044428426206,10115.207973744305,4089213763.1019917,510.8642815781482,29987.53266972756,metal
964665218.0956659,511.6818350051369,15910.207855727414,519451787.1029301,0.28360953258820804,4324.011633148419,813457314.6088183,511.7575413189919,15412.668326107656,metal
1817699390.785794,511.65798055239276,20434.892972289003,1213498193.3702025,0.35457680220960386,3632.824918938915,1367066298.2895956,511.777155125555,19996.727952326273,metal
1316969574.0010219,511.709546313664,15081.413289944918,965461381.7827362,0.29935143791919805,5916.042163996602,1078204831.1057487,511.78081256442437,14303.892311605809,metal
36132053390.94503,511.2742199540904,72747.71764971016,11018377455.631544,0.5631383116596,12560.990791683855,36348154131.96678,511.388456070456,72922.04520962271,metal
5152907446.99238,511.81068304679155,38568.84455928003,1795317176.5973334,0.1620892979701574,7063.214773666243,4780771853.175861,511.8503354585244,37574.365272469746,metal
19691174174.77841,511.6660833271113,72267.97785180515,4217178314.665053,0.2628872287848327,7597.088190562593,19400926773.17167,511.72846287616704,72617.93112283555,metal
4829095334.834239,511.62750408575823,36034.927044878736,1496693496.1808643,0.33079709707050536,6261.166878153471,4553973143.660432,511.7219525633483,35524.3919577372,metal
2777396404.20626,511.71370929074914,28970.545448604233,1068739375.3566651,0.24571310168290203,5756.459438745699,2559108602.2348967,511.7717442768307,28850.18296594663,metal
2296051112.4729114,511.7218049442273,23878.103862210435,1073130192.5982343,0.303171475124768,6656.681781774615,2047988001.650049,511.80017064437556,23155.621108571206,metal
4613148914.571114,511.75267216589236,33013.889214507915,2060868665.4965396,0.2105848546206558,6443.681084517723,4154508201.450054,511.8049851216984,32480.668560461352,metal
27470170138.910355,511.8135893373879,86746.01122200118,11350875241.835653,0.2130504601899009,15653.530268232553,26006171715.42572,511.8890502208208,86581.20385417886,metal
4889085144.700077,510.2309463044931,31726.175450221184,3618861161.76676,0.6243345691300557,8051.712251891373,3721512892.3944044,510.2931021863418,30278.649187753566,metal
5203718834.760119,511.74761353556073,37431.48186692684,1451807546.0908093,0.2508090560402951,6311.354754363598,5047291097.756416,511.8262131302368,37703.18321925932,metal
4049121657.9496613,509.83096032625946,29793.79356215072,3111611361.6224713,2.2792178080696854,11757.45000722847,3306286150.365236,510.33748346929855,29602.17592535863,metal
5384827583.286291,509.9062137480212,32586.12930946188,4654507073.617309,1.5067050758747635,10335.269784955883,4096622216.265915,510.15780667606515,31828.81413333582,metal
4602444832.704742,509.91867354402257,33024.835880383194,3496869556.596604,0.7337332148449494,8643.689735322208,3584431548.511233,509.9918241087697,31541.81943354027,metal
15333797617.820324,511.75268783770537,47241.184983920524,9704863020.011911,0.2181901249674427,14410.808263287452,13160619867.01284,511.81337502898396,43939.71413179228,metal
14358785002.5379,511.34380768657235,48133.55792746624,8990636694.207888,0.565909199375577,13414.164282790201,12133663432.67657,511.5044984417852,46132.18948564298,metal
19900177283.91022,510.87569318957793,59237.21442993037,6756627367.614723,1.074850474494997,9750.54457236948,19207353177.22419,511.21110544440495,58792.85208088804,metal
3857754593.028568,511.2408534019307,24421.56592472006,2364448665.5280504,0.4479140984102458,9125.79799957745,3284673476.3691025,511.30433492193447,24504.762589278722,metal
7152120761.420597,510.0965871285644,40724.28680145615,3075915571.1950083,0.8165940797833312,8355.641425940095,6585496803.010944,510.2368483669345,41515.01918685481,metal
10429428446.173601,511.0819496487207,45579.890366719934,5457041640.095517,0.5545335553623073,11511.680304190442,9205856795.284283,511.13985820206113,44167.151978629656,metal
7610240231.394945,511.7397758572217,47234.24657272304,2407917629.8304768,0.22387940195056885,6558.854034851422,7341395538.090372,511.7930951233221,47070.14090577542,metal
3054134919.976378,511.71015614827735,25241.296396568276,1948455159.0495954,0.3216751975986915,9525.758017745075,2600431928.9130945,511.8207807553329,24131.79349850367,metal
20072744770.41857,511.0432557388995,40136.69016837036,10680625830.744287,0.7177648258656207,10785.225712015541,16869446932.901894,511.18224712965696,38068.6187403457,metal
18412324849.886887,511.63719058806674,58951.97204285473,9652408106.435202,0.35929134559668713,16368.189837393476,15974717656.822948,511.7362158616845,56144.42442850106,metal
7203744131.068541,508.74504528981777,38324.28635840958,4243759943.522086,4.595259215833958,10656.109381929926,6140790964.772856,509.51986880515176,38692.16566084851,metal
24921145776.587326,511.4973607596671,57291.17789850109,9989390072.315237,0.5796407417025728,15634.288505665656,23169665570.6633,511.65087951353325,55981.11760658445,metal
3233522231.3420763,511.7034009433041,25920.64050570286,1973538247.568745,0.27041416020495507,10308.001444921903,2958847240.5461636,511.7666183851101,25282.04293979431,metal
28345165392.368214,511.4904627555338,80791.872471734,13697384979.564646,0.5497079802701703,21734.164308509284,27513902049.69542,511.6530433496535,84827.21002331487,metal
4916144222.737871,511.65366790999707,31912.805455059548,3742915790.1498756,0.3624848623333961,9519.856199094167,3489494991.1763177,511.78090132523937,30270.282287942362,metal
4715318575.027516,511.1057224478774,29828.2231964114,2093145296.8262312,0.3648272094136452,5851.651185322011,4115921792.0791073,511.1197504424125,29074.109689420504,metal
