Power_mean,Amplitude_mean,Weighted_Mean_Frequency_mean,Power_std,Amplitude_std,Weighted_Mean_Frequency_std,Power_median,Amplitude_median,Weighted_Mean_Frequency_median,Genre
1611142684.3690772,510.06742266470843,10697.751644287277,2855460352.7440386,2.25033399423341,10632.01816348389,377652113.77495486,510.87770084868964,5956.750320355032,jazz
331814739.83548456,510.52007715935366,4513.18291539047,531652273.4092024,2.6009502735756858,4276.6376755756855,138714453.96509957,511.2159842266064,3137.8050584052526,jazz
3275292088.9927163,511.80441193916556,14060.015679144355,2368912097.9430933,0.17359542239293188,7589.113935422671,2840764895.044631,511.8569147869929,13684.063528306819,jazz
2127367079.1841652,511.7220185166767,10374.234577962581,2397016281.692259,0.25499556004631296,7381.887621420284,1115294382.27041,511.79413726703007,8660.937740313222,jazz
6106601852.583785,511.7164656645258,13159.05636312135,5081989091.008926,0.22466198878688057,6319.192985359025,4648539289.815198,511.7648794227462,11970.037605954265,jazz
6011018805.325082,511.2299969757761,15115.649448501146,5892508010.093569,1.6990262417152064,9178.658633099283,4340299209.665524,511.6253242677121,13911.6058173284,jazz
4820258100.453018,511.53495409661105,15545.108515540043,3621732382.073051,0.5651934766740352,8387.052286206223,4079397898.7286077,511.7064256806011,14973.922230710068,jazz
4816996864.852782,511.6606940002406,11174.725005725406,4700572905.565096,0.3895446247518902,5971.512871241343,3545986958.9319115,511.7923026678605,10396.304412882877,jazz
6763680515.918314,511.60258614707845,18171.664646548932,4953922149.888018,0.36919774348261575,7366.429087034385,5641585556.367605,511.6965020622417,17867.8366844693,jazz
3495450043.058773,511.64833213729554,10184.169937996265,2248922992.1082993,0.32598307979594976,3428.7903187794095,3209417235.813869,511.71649990543096,9978.81325017368,jazz
2527066869.5613236,511.4603074943263,10346.228007134672,2996345927.975764,0.5700278325372331,9294.974578737454,1253910643.6975884,511.63242675883544,6323.212232134719,jazz
2674237971.7358584,511.12681008994707,13857.101778930777,2642600260.8330364,0.8777323184366831,6242.742324647892,1826692620.564177,511.37467192119607,13166.528692497786,jazz
733236122.8093201,510.5444753956718,7529.191693395938,790571637.059322,1.6368478595035503,3861.6166210864812,498881381.1295447,511.0648991108634,6750.2198162455625,jazz
